Label,X,Y,Z,slop(x),slop(x/z),slop(1/z),slop(1/x),slop(z/x),slop(z)
9,576.472106,0.749374,-20.136927,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619
-1,1044.181085,0.746138,0.387314,-1.604969,146.3720018,91.19927041,0.623,0.006831908,0.010965
11,737.165311,0.750461,-9.112439,-1.705344,32.16962517,18.86400936,0.586,0.031085224,0.053011
0,147.556839,0.746279,50.048036,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648
-1,920.476135,0.746216,0.032042,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491
6,1031.951524,0.745735,-0.38688,-1.724444,11.60929043,6.732193349,0.58,0.086137909,0.14854
11,890.646192,0.750461,-4.341492,-1.705343,32.17021317,18.86436521,0.586,0.031084656,0.05301
9,1003.529925,0.749374,-1.403932,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619
11,657.014184,0.750461,-11.603934,-1.705343,32.16960631,18.86400936,0.586,0.031085242,0.053011
15,1058.400156,0.742812,0.888069,-1.481704,2.970823175,2.005004491,0.675,0.336607042,0.498752
2,-58.933781,0.745906,44.514157,-1.728946,-24.95627824,-14.43438849,0.578,-0.040070077,-0.069279
8,-218.484468,0.746084,-2.33821,-1.594317,463.5990113,290.7822041,0.627,0.002157037,0.003439
6,1030.427874,0.74685,-49.757341,1.630028,-14.81331904,9.08776968,-0.613,-0.067506816,0.110038
3,1040.200067,0.748176,-0.834176,-1.023728,1.539047161,1.503375077,0.977,0.649752669,0.66517
-1,403.15434,0.746216,-1.414044,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491
6,1063.811845,0.744522,-47.334718,1.189861,1.36614571,-1.148155717,-0.84,0.731986341,-0.870962
3,1037.143504,0.749465,-3.103864,-0.738863,0.58035431,0.785469444,1.35,1.723085335,1.273124
9,793.911802,0.749374,-10.598882,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619
14,-456.114397,0.746095,-194.247913,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865
10,-349.347944,0.680672,-93.536872,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505
7,-310.555377,0.744838,109.657601,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049
11,-33.649782,0.750461,-33.073199,-1.705344,32.16962517,18.86400936,0.586,0.031085224,0.053011
16,144.616189,0.696091,-88.029751,-1.626686,10.18467433,6.260995874,0.615,0.098186743,0.159719
2,13.681932,0.745906,41.604455,-1.728946,-24.95627824,-14.43438849,0.578,-0.040070077,-0.069279
6,1018.787658,0.74685,-11.047645,-0.110112,0.06755267,0.613490534,9.08,14.80326395,1.630017
16,484.593457,0.696091,-54.648613,-1.626685,10.18473184,6.261035074,0.615,0.098186188,0.159718
0,656.12695,0.746279,21.889974,-1.564813,-18.06255122,-11.54294553,0.639,-0.055363165,-0.086633
10,589.227463,0.680672,-30.677253,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505
17,419.722969,0.749372,7.315743,-1.593054,-89.99796622,-56.49398339,0.628,-0.011111362,-0.017701
7,-433.410426,0.744838,119.561299,-1.638068,-12.40500117,-7.572946406,0.61,-0.080612649,-0.132049
13,734.868517,0.744162,-19.342449,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984
0,164.769963,0.746279,49.095002,-1.564813,-18.06275972,-11.54307877,0.639,-0.055362526,-0.086632
9,-385.581223,0.749374,-62.337631,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619
12,1051.630583,0.738482,8.354711,0.154853,-0.143780066,0.928493899,-6.46,-6.955067064,1.077013
13,627.230004,0.744162,-26.20843,-1.708547,15.67704434,9.175658812,0.585,0.063787534,0.108984
15,1056.432481,0.745716,43.225466,1.642803,-4.68762894,2.853433394,-0.609,-0.213327465,0.350455
9,405.961841,0.749374,-27.616402,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619
4,103.317788,0.658266,54.882235,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813
16,-252.295072,0.696091,-127.001032,-1.626686,10.18467433,6.260995874,0.615,0.098186743,0.159719
2,508.160358,0.745906,21.79077,-1.728946,-24.95627824,-14.43438849,0.578,-0.040070077,-0.069279
16,565.927732,0.696091,-46.662695,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718
11,-153.023801,0.750461,-36.783936,-1.705343,32.16960631,18.86400936,0.586,0.031085242,0.053011
1,845.239073,0.745381,14.420994,-1.77464,-14.28937219,-8.051983606,0.563,-0.069982081,-0.124193
9,121.256629,0.749374,-40.105065,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619
9,287.07395,0.749374,-32.831448,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619
7,767.292926,0.744838,22.769156,-1.638067,-12.40489966,-7.572889057,0.61,-0.080613308,-0.13205
0,-206.095005,0.746279,69.628724,-1.56485,-18.05964293,-11.54081409,0.639,-0.05537208,-0.086649
8,345.903921,0.746084,-1.120696,-1.594317,463.4642442,290.6976744,0.627,0.002157664,0.00344
17,1018.711281,0.749372,0.660462,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177
2,886.799432,0.745906,6.618753,-1.728945,-24.9562638,-14.43438849,0.578,-0.040070101,-0.069279
15,1021.32778,0.743147,11.312584,-0.118173,-0.071572459,-0.605658302,8.46,-13.97185482,-1.651096
7,-459.619503,0.744838,121.674088,-1.638068,-12.40500117,-7.572946406,0.61,-0.080612649,-0.132049
5,629.889679,0.754196,49.639185,-1.605881,-8.438725374,-5.25488836,0.623,-0.118501309,-0.190299
15,1047.014648,0.744682,43.907388,1.73935,-16.95785276,9.74953446,-0.575,-0.05896973,0.102569
6,1057.79329,0.74557,-48.692452,1.701519,8.64158274,-5.078745956,-0.588,0.115719542,-0.196899
4,-351.802952,0.658266,81.265475,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814
9,-222.89253,0.749374,-55.201252,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619
8,715.785577,0.746084,-0.322778,-1.594317,463.5990113,290.7822041,0.627,0.002157037,0.003439
11,184.634138,0.750461,-26.287851,-1.705343,32.16960631,18.86400936,0.586,0.031085242,0.053011
2,-484.254385,0.745906,61.556697,-1.728946,-24.95627824,-14.43438849,0.578,-0.040070077,-0.069279
17,252.452297,0.749372,9.174266,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177
16,-362.909686,0.696091,-137.861881,-1.626685,10.18473184,6.261035074,0.615,0.098186188,0.159718
5,125.643144,0.754196,109.393172,-1.60588,-8.438720119,-5.25488836,0.623,-0.118501382,-0.190299
9,283.945322,0.749374,-32.968686,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619
14,667.504419,0.746095,-48.610392,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649
9,135.335458,0.749374,-39.487494,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619
15,1064.875137,0.744733,15.376327,-0.116188,0.066708847,0.574145757,8.61,14.99051537,1.741718
14,26.816327,0.746095,-131.65299,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865
14,653.016498,0.746095,-50.488239,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865
14,87.987552,0.746095,-123.7243,-1.60977,7.71520592,4.792738043,0.621,0.129614168,0.208649
13,239.38965,0.744162,-50.947759,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984
7,891.786043,0.744838,12.733409,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049
12,1049.545713,0.743717,11.51439,0.885131,-0.874996787,0.988550607,-1.13,-1.142861339,1.011582
11,182.928795,0.750461,-26.340862,-1.705344,32.17023203,18.86436521,0.586,0.031084637,0.05301
14,-270.990953,0.746095,-170.253193,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649
12,1046.504618,0.746325,13.461232,0.993026,-1.98518249,1.999124384,-1.01,-0.503732027,0.500219
0,211.714898,0.746279,46.495795,-1.564813,-18.06255122,-11.54294553,0.639,-0.055363165,-0.086633
3,1051.729456,0.790072,-11.396793,0.259784,0.184960464,-0.711977889,-3.85,5.406560835,-1.404538
12,1051.357639,0.74541,8.628127,0.319157,-0.246415796,0.77208332,-3.13,-4.058181397,1.295197
17,399.013267,0.749372,7.545846,-1.593054,-89.99796622,-56.49398339,0.628,-0.011111362,-0.017701
10,330.494699,0.680672,-48.005475,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505
0,485.560371,0.746279,31.33375,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648
9,506.07796,0.749374,-23.224784,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619
13,181.299024,0.744162,-54.65321,-1.708547,15.67718819,9.175743006,0.585,0.063786949,0.108983
17,-346.536016,0.749372,15.829548,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177
-1,59.344203,0.746216,-2.375107,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491
17,897.639176,0.749372,2.005678,-1.593054,-89.99796622,-56.49398339,0.628,-0.011111362,-0.017701
10,615.992921,0.680672,-28.884678,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505
2,359.471041,0.745906,27.748732,-1.728946,-24.95663847,-14.43459684,0.578,-0.040069499,-0.069278
9,18.011881,0.749374,-44.633921,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619
12,1051.092833,0.744955,9.421705,0.493199,-0.357154289,0.724158582,-2.03,-2.799910381,1.380913
12,1036.075159,0.746906,7.344702,0.340376,0.338781693,-0.995316043,-2.94,2.951753355,-1.004706
0,-181.057707,0.746279,68.242481,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648
16,570.807788,0.696091,-46.183539,-1.626685,10.18466807,6.260995874,0.615,0.098186803,0.159719
9,596.808193,0.749374,-19.24488,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619
-1,142.886853,0.746216,-2.141578,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491
4,186.841819,0.658266,50.040366,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814
13,1004.819072,0.744162,-2.123004,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984
13,799.793334,0.744162,-15.201063,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984
11,827.548496,0.750461,-6.302881,-1.705343,32.16960631,18.86400936,0.586,0.031085242,0.053011
11,-108.68488,0.750461,-35.405662,-1.705343,32.16960631,18.86400936,0.586,0.031085242,0.053011
7,406.918114,0.744838,51.820004,-1.638068,-12.40500117,-7.572946406,0.61,-0.080612649,-0.132049
2,487.413011,0.745906,22.622114,-1.728945,-24.95662404,-14.43459684,0.578,-0.040069522,-0.069278
15,1021.712565,0.744722,28.48898,0.113324,0.065050787,-0.574024804,-8.82,15.37260421,-1.742085
9,837.712604,0.749374,-8.677549,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619
-1,-369.615174,0.746216,-3.574191,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491
1,811.520904,0.745381,16.780676,-1.774641,-14.28938024,-8.051983606,0.563,-0.069982041,-0.124193
15,1043.639243,0.744922,-0.019471,-1.72942,-18.4443923,-10.66507402,0.578,-0.054217021,-0.093764
3,1050.789499,0.748258,-4.025011,-0.577048,-0.565121672,-0.979332174,1.73,-1.769530438,-1.021104
1,-416.530322,0.745381,102.722779,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194
5,466.089849,0.754196,69.049716,-1.605881,-8.438725374,-5.25488836,0.623,-0.118501309,-0.190299
9,-398.095737,0.749374,-62.886583,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619
8,-456.037773,0.746084,-2.850666,-1.594317,463.4642442,290.6976744,0.627,0.002157664,0.00344
13,-105.737009,0.744162,-72.962493,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984
10,-436.781774,0.680672,-99.392616,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505
14,620.821116,0.746095,-54.661234,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865
6,1060.623929,0.744278,-0.049478,-1.56338,-4.206931812,-2.690920833,0.64,-0.237702926,-0.37162
-1,123.60778,0.746216,-2.195469,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491
-1,671.454774,0.746216,-0.664055,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491
2,-43.373271,0.745906,43.890649,-1.728946,-24.95627824,-14.43438849,0.578,-0.040070077,-0.069279
14,443.746518,0.746095,-77.612706,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865
6,1065.24833,0.744145,-46.311169,1.063317,0.998415968,-0.93896361,-0.94,1.001586545,-1.065004
14,-414.260401,0.746095,-188.82302,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865
10,-188.755194,0.680672,-82.781424,-1.784363,14.93128321,8.367850718,0.56,0.06697348,0.119505
1,484.987052,0.745381,39.632333,-1.774641,-14.28926518,-8.051918772,0.563,-0.069982605,-0.124194
5,-258.162339,0.754196,154.87471,-1.60588,-8.438720119,-5.25488836,0.623,-0.118501382,-0.190299
1,217.016336,0.745381,58.385596,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194
2,-224.912554,0.745906,51.164904,-1.728945,-24.9562638,-14.43438849,0.578,-0.040070101,-0.069279
14,-110.014045,0.746095,-149.388218,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865
6,1018.702054,0.74659,-17.748613,0.057535,-0.033764354,0.58684895,-17.4,-29.61703311,1.704016
15,1065.45172,0.744615,28.481662,-0.0383,0.022525304,0.588128047,26.1,44.39451697,1.70031
15,1062.211554,0.7454,4.541517,-1.024125,0.932543621,0.910575976,0.976,1.072335896,1.098206
17,985.257147,0.749372,1.032166,-1.593054,-89.99796622,-56.49398339,0.628,-0.011111362,-0.017701
15,1063.429498,0.743628,38.642038,0.722753,-0.545684411,0.755008158,-1.38,-1.832561055,1.324489
1,355.438295,0.745381,48.69848,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194
6,1018.897959,0.74603,-22.860256,0.08296,-0.048238756,0.581470061,-12.1,-20.73021938,1.719779
10,441.12526,0.680672,-40.596166,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505
-1,642.536164,0.746216,-0.744892,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491
16,471.579973,0.696091,-55.92636,-1.626685,10.18473184,6.261035074,0.615,0.098186188,0.159718
6,1032.064522,0.7468,-49.87879,1.661341,-56.98892014,34.30296378,-0.602,-0.017547271,0.029152
12,1051.785436,0.742965,7.277698,-0.014218,0.01401328,0.98560135,70.3,71.36088057,1.014609
0,427.661599,0.746279,34.539446,-1.564812,-18.06274818,-11.54307877,0.639,-0.055362561,-0.086632
-1,97.902349,0.746216,-2.267325,-1.606589,357.814922,222.7171492,0.622,0.002794741,0.00449
3,1041.921941,0.74838,0.307272,-0.986402,2.278964672,2.310381236,1.01,0.438795745,0.432829
13,745.119804,0.744162,-18.688546,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984
13,729.742873,0.744162,-19.6694,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984
16,894.518202,0.696091,-14.399585,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718
12,1036.297166,0.746617,8.131299,0.423726,0.437737541,-1.033067456,-2.36,2.284473929,-0.967991
13,1042.406712,0.744163,0.26456,-1.708437,16.53363463,9.677637882,0.585,0.060482769,0.103331
3,1042.797844,0.748821,-15.391909,1.149337,-23.2499292,20.22899219,-0.87,-0.043010884,0.049434
0,44.277982,0.746279,55.76629,-1.564851,-18.05986289,-11.54094728,0.639,-0.055371406,-0.086648
6,1067.875286,0.745382,-9.05088,-0.273074,-0.164545132,-0.602566088,3.66,-6.077359983,-1.659569
10,785.507491,0.680672,-17.531705,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505
11,280.133353,0.750461,-23.319261,-1.705343,32.16960631,18.86400936,0.586,0.031085242,0.053011
7,424.936854,0.744838,50.367462,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049
-1,-398.533783,0.746216,-3.655028,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491
3,1047.840014,0.748171,-13.939656,1.01785,1.527523487,-1.50073536,-0.982,0.654654419,-0.66634
1,131.833592,0.745381,64.346898,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194
10,152.05831,0.680672,-59.955973,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505
16,805.0505,0.696091,-23.184095,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718
0,853.295677,0.746279,10.973307,-1.564812,-18.06253968,-11.54294553,0.639,-0.0553632,-0.086633
17,346.442484,0.749372,8.129953,-1.593054,-89.99796622,-56.49398339,0.628,-0.011111362,-0.017701
16,364.21873,0.696091,-66.467772,-1.626685,10.18473184,6.261035074,0.615,0.098186188,0.159718
15,1021.131586,0.744942,20.752136,0.087251,0.050616822,-0.580128847,-11.5,19.75627787,-1.723755
0,438.615436,0.746279,33.932956,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648
0,-46.482226,0.746279,60.791423,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648
1,-405.882479,0.745381,101.977617,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194
17,-190.416722,0.749372,14.094927,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177
12,1036.723474,0.74484,3.15634,-0.549243,-0.398715817,-0.725937003,1.82,-2.508051992,-1.37753
3,1051.642769,0.749077,-9.291865,0.226953,0.180680247,-0.796113058,-4.41,5.534639331,-1.256103
-1,722.865635,0.746216,-0.520345,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491
4,-486.464145,0.658266,89.071752,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814
5,804.930673,0.754196,28.896559,-1.605881,-8.438725374,-5.25488836,0.623,-0.118501309,-0.190299
0,-76.214037,0.746279,62.437595,-1.564813,-18.06275972,-11.54307877,0.639,-0.055362526,-0.086632
6,1060.619997,0.744277,-0.045284,-1.563377,-4.203914641,-2.68899609,0.64,-0.237873526,-0.371886
8,567.514051,0.746084,-0.642633,-1.594317,463.5990113,290.7822041,0.627,0.002157037,0.003439
0,834.517703,0.746279,12.01299,-1.564812,-18.06274818,-11.54307877,0.639,-0.055362561,-0.086632
10,1006.768424,0.680672,-2.712472,-1.784316,14.91154939,8.357011533,0.56,0.067062112,0.11966
14,263.452381,0.746095,-100.981477,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865
10,585.658735,0.680672,-30.916263,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505
7,582.191318,0.744838,37.690728,-1.638068,-12.40500117,-7.572946406,0.61,-0.080612649,-0.132049
13,304.314467,0.744162,-46.806374,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984
8,49.360869,0.746084,-1.760407,-1.594317,463.5990113,290.7822041,0.627,0.002157037,0.003439
11,-100.158164,0.750461,-35.14061,-1.705344,32.17023203,18.86436521,0.586,0.031084637,0.05301
3,1036.543037,0.748868,-4.004826,-0.533727,0.387533482,0.726089334,1.87,2.580422201,1.377241
8,1009.139994,0.746084,0.310054,-1.594317,463.5990113,290.7822041,0.627,0.002157037,0.003439
17,622.04083,0.749372,5.067816,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177
15,1021.876127,0.744841,30.916308,0.140688,0.080868604,-0.574808115,-7.11,12.36573837,-1.739711
13,145.41952,0.744162,-56.94187,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984
6,1066.311647,0.743918,-45.246165,0.926394,0.777481427,-0.839255681,-1.08,1.286204358,-1.191532
15,1063.88574,0.746497,6.698593,-0.591304,0.413333967,0.699021091,1.69,2.419351129,1.430572
5,-309.550521,0.754196,160.964288,-1.60588,-8.438720119,-5.25488836,0.623,-0.118501382,-0.190299
5,1012.089281,0.754196,4.347946,-1.605881,-8.43868103,-5.254860746,0.623,-0.118501931,-0.1903
5,67.83144,0.754196,116.243947,-1.605881,-8.43868103,-5.254860746,0.623,-0.118501931,-0.1903
8,119.510839,0.746084,-1.609077,-1.594318,463.4645349,290.6976744,0.627,0.002157662,0.00344
1,-116.616077,0.745381,81.734029,-1.774641,-14.28938024,-8.051983606,0.563,-0.069982041,-0.124193
-1,473.844274,0.746216,-1.216442,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491
14,757.651488,0.746095,-36.926006,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865
15,1047.822555,0.744675,43.845893,1.740557,-16.6767941,9.581297308,-0.575,-0.059963563,0.10437
16,-253.921758,0.696091,-127.160751,-1.626685,10.18473184,6.261035074,0.615,0.098186188,0.159718
5,894.859991,0.754196,18.239797,-1.60588,-8.438720119,-5.25488836,0.623,-0.118501382,-0.190299
0,1012.908456,0.746279,2.136006,-1.564812,-18.06274818,-11.54307877,0.639,-0.055362561,-0.086632
13,857.883959,0.744162,-11.495613,-1.708547,15.67704434,9.175658812,0.585,0.063787534,0.108984
3,1046.185137,0.748342,-14.768553,0.992786,2.102696395,-2.11797547,-1.01,0.475579833,-0.472149
17,674.611613,0.749372,4.483709,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177
8,-309.360564,0.746084,-2.53425,-1.594318,463.4645349,290.6976744,0.627,0.002157662,0.00344
15,1065.009595,0.74471,16.177276,-0.110417,0.06337784,0.573986254,9.06,15.77838557,1.742202
9,-366.80945,0.749374,-61.514203,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619
3,1048.149459,0.749412,-0.708776,-1.244221,-1.622695178,-1.304185653,0.804,-0.616258687,-0.766762
3,1048.567116,0.748147,-13.455563,0.990629,1.248229962,-1.260037776,-1.01,0.801134431,-0.793627
10,871.156957,0.680672,-11.795466,-1.784363,14.93128321,8.367850718,0.56,0.06697348,0.119505
1,163.777121,0.745381,62.11141,-1.77464,-14.28937219,-8.051983606,0.563,-0.069982081,-0.124193
3,1051.842064,0.748535,-6.925451,-0.252905,-0.24131742,-0.954182085,3.95,-4.143919654,-1.048018
6,1030.430319,0.746851,-49.763786,1.630045,-14.83099501,9.098518761,-0.613,-0.067426359,0.109908
-1,-98.101561,0.746216,-2.815221,-1.606589,357.814922,222.7171492,0.622,0.002794741,0.00449
2,132.979174,0.745906,36.82423,-1.728945,-24.9562638,-14.43438849,0.578,-0.040070101,-0.069279
17,-118.729291,0.749372,13.298417,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177
13,-179.204565,0.744162,-77.648798,-1.708548,15.67719736,9.175743006,0.585,0.063786911,0.108983
7,-484.190513,0.744838,123.654828,-1.638068,-12.40500117,-7.572946406,0.61,-0.080612649,-0.132049
1,511.606659,0.745381,37.769426,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194
16,-223.014733,0.696091,-124.126102,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718
7,839.367888,0.744838,16.958987,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049
15,1024.803441,0.744741,3.635132,-1.038239,-0.949308709,-0.914345068,0.963,-1.05339811,-1.093679
14,421.209751,0.746095,-80.533802,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865
4,202.182967,0.658266,49.151044,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813
8,-283.851485,0.746084,-2.479221,-1.594317,463.4642442,290.6976744,0.627,0.002157664,0.00344
